feed_name,feed_description,gtfs_zip_url,license_url
basin-or-us,Basin Transit Service,http://oregon-gtfs.com/gtfs_data/basin-or-us/basin-or-us.zip,
benton-or-us,Benton County Transportation,http://oregon-gtfs.com/gtfs_data/benton-or-us/benton-or-us.zip,
bluestar-or-us,Blue Star Transportation: Portland airport shuttle,http://oregon-gtfs.com/gtfs_data/bluestar-or-us/bluestar-or-us.zip,
caravan-or-us,Caravan Airport Transportation,http://oregon-gtfs.com/gtfs_data/caravan-or-us/caravan-or-us.zip,
cascadeseast-or-us,Cascades East Transit,http://oregon-gtfs.com/gtfs_data/cascadeseast-or-us/cascadeseast-or-us.zip,
cascadespoint-or-us,Cascades POINT,http://oregon-gtfs.com/gtfs_data/cascadespoint-or-us/cascadespoint-or-us.zip,
cityofmiltonfreewater-miltonfreewater-or-us,City of Milton-Freewater: Milton-Freewater Oregon,http://www.gtfs-data-exchange.com/agency/city-of-milton-freewater-oregon/latest.zip,
columbiacounty-or-us,Columbia County Rider,http://oregon-gtfs.com/gtfs_data/columbiacounty-or-us/columbiacounty-or-us.zip,
confederatedtribesoftheumatillaindianreservation-pendleton-or-us,Confederated Tribes of the Umatilla Indian Reservation: Pendleton .zip,
confederatedtribesoftheumatillaindianreservation-pendleton-or-us,Confederated Tribes of the Umatilla Indian Reservation: Pendleton Oregon,http://www.gtfs-data-exchange.com/agency/confederated-tribes-of-the-umatilla-indian-reservation/latest.zip,
cooscounty-or-us,Coos County Area Transit,http://oregon-gtfs.com/gtfs_data/cooscounty-or-us/cooscounty-or-us.zip,
corvallistransitsystem-corvallis-or-us,Corvallis Transit System: Corvallis Oregon,ftp://ftp.ci.corvallis.or.us/pw/Transportation/GoogleTransitFeed/gtfeedfile.zip,
currypublictransit-brookings-or-us,Curry Public Transit: Brookings Oregon,http://www.gtfs-data-exchange.com/agency/curry-public-transit/latest.zip,
diamondexpress-or-us,Diamond Express,http://oregon-gtfs.com/gtfs_data/diamondexpress-or-us/diamondexpress-or-us.zip,
easternpoint-or-us,Eastern POINT,http://oregon-gtfs.com/gtfs_data/easternpoint-or-us/easternpoint-or-us.zip,
eugenetobend-or-us,Eugene to Bend,http://oregon-gtfs.com/gtfs_data/eugenetobend-or-us/eugenetobend-or-us.zip,
highdesertpoint-or-us,HighDesert POINT,http://oregon-gtfs.com/gtfs_data/highdesertpoint-or-us/highdesertpoint-or-us.zip,
hoodriver-or-us,Columbia Area Transit operated by Hood River County Transportation District,http://oregon-gtfs.com/gtfs_data/hoodriver-or-us/hoodriver-or-us.zip,
hut-or-us,HUT Airport Shuttle,http://oregon-gtfs.com/gtfs_data/hut-or-us/hut-or-us.zip,
josephinecounty-or-us,Josephine County Transit,http://oregon-gtfs.com/gtfs_data/josephinecounty-or-us/josephinecounty-or-us.zip,
lanetransitdistrict-or-us,Lane Transit District: Eugene Oregon,http://feed.ltd.org/gtfs-realtime/gtfs,
lincolncounty-or-us,Lincoln County Transit,http://oregon-gtfs.com/gtfs_data/lincolncounty-or-us/lincolncounty-or-us.zip,
linnshuttle-or-us,Linn Shuttle,http://oregon-gtfs.com/gtfs_data/linnshuttle-or-us/linnshuttle-or-us.zip,
mthoodexpress-or-us,Mt. Hood Express,http://oregon-gtfs.com/gtfs_data/mthoodexpress-or-us/mthoodexpress-or-us.zip,
northeast-or-us,"Baker City Community Connection, Northeast Oregon Public Transit, Wallowa Community Connection",http://oregon-gtfs.com/gtfs_data/northeast-or-us/northeast-or-us.zip,
northwestpoint-or-us,NorthWest POINT,http://oregon-gtfs.com/gtfs_data/northwestpoint-or-us/northwestpoint-or-us.zip,
peoplemover-or-us,People Mover: Grant County,http://oregon-gtfs.com/gtfs_data/peoplemover-or-us/peoplemover-or-us.zip,
rhodyexpress-or-us,Rhody Express,http://oregon-gtfs.com/gtfs_data/rhodyexpress-or-us/rhodyexpress-or-us.zip,
rideconnection-or-us,Ride Connection: Portland Metro Area,http://oregon-gtfs.com/gtfs_data/rideconnection-or-us/rideconnection-or-us.zip,
roguevalleytransportationdistrict-medford-or-us,Rogue Valley Transportation District: Medford Oregon,http://www.rvtd.org/images/subpages/google_transit.zip,
